School_ID,NDVI_median,Percent_Water,Percent_Developed,Percent_Forest,Percent_Pasture,Percent_LandCoverTotal,Land_Surface_Temp,Year_built,Median_income_BG,Percent_FRPM,StudentEnrollment_mean,Staff,Student_Staff_Ratio,Diversity_Index,Students_Disabilities,Asthma_Rates,COVID_infections,Pollution_Burden,Chronic_Absenteeism,retrofit,ndvi_median_binary,retrofit_and_ndvi
27800000000000_1,0.13,0,99.64,0,0.36,100,26.74,1997,73614,NA,NA,59.75,NA,NA,NA,49.82,39.52,45.09,NA,1,0,0
27800000000000_2,0.13,0,100,0,0,100,26.83,NA,69531,89.5,NA,13.25,NA,NA,NA,49.82,39.52,45.09,19,1,0,0
1610000000000_3,0.16,0,35.48,0,64.52,100,31.64,1963,74788,NA,NA,NA,NA,NA,NA,30.08,19.56,36.19,13.8,0,0,0
42700000000000_4,0.16,0,87.3,1.37,11.33,100,29.92,1938,78030,37,NA,26.01,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
42700000000000_5,0.14,0,73.28,3.88,22.84,100,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
42700000000000_6,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
42700000000000_7,0.14,0,85.53,1.89,12.58,100,29.89,1938,78030,37,NA,26.01,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
42700000000000_8,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
42700000000000_9,0.14,NA,NA,NA,NA,NA,29.83,1938,78030,NA,NA,NA,NA,NA,NA,37.27,51.99,28.63,9.25,1,0,0
52700000000000_10,0.18,0,46.37,0,53.63,100,28.71,1997,NA,NA,NA,NA,NA,NA,NA,69.27,60.29,43.68,32.45,1,0,0
9620000000000_11,0.18,0.64,21.48,2.23,75.66,100,28.11,2002,184936,NA,NA,17.37,NA,NA,NA,18.58,18.13,20.24,18,1,0,0
31700000000000_12,0.22,0,51.07,9.91,39.02,100,26.83,1963,97604,20,276,5.61,49.2,NA,NA,23.87,42.85,30.44,NA,0,0,0
10600000000000_13,0.11,0,100,0,0,100,31.49,2007,23466,98.5,NA,14.05,NA,NA,NA,70.53,29.25,44.05,39.3,0,0,0
45700000000000_14,0.22,2.94,24.09,8.66,64.31,100,26.96,2016,95625,NA,NA,NA,NA,NA,NA,27.09,54.48,15.92,46.75,1,0,0
15600000000000_15,0.11,0.48,99.52,0,0,100,33.15,2011,28379,93,NA,17.38,NA,NA,NA,84.72,27.08,50.34,66.15,0,0,0
43700000000000_16,0.12,0,98.64,0,1.36,100,28.48,1975,148385,50.5,NA,10.51,NA,NA,NA,46.54,52.82,27.14,14.1,0,0,0
7620000000000_17,0.2,0,77.7,2.86,19.44,100,27.39,1940,180781,NA,NA,29.7,NA,NA,NA,21.04,21.42,32,9.65,0,0,0
29700000000000_18,0.25,0.96,19.9,44.9,34.24,100,25.2,NA,63958,NA,43,NA,NA,NA,NA,54.74,41.19,29.64,15,1,1,1
29700000000000_19,0.23,0.4,53.07,20.51,26.02,100,26.23,NA,139143,44.5,200.5,5.11,39.28,NA,NA,NA,NA,NA,NA,1,0,0
29700000000000_20,0.23,NA,NA,NA,NA,NA,26.23,NA,139143,44.5,200.5,5.11,39.28,NA,NA,NA,NA,NA,NA,1,0,0
51700000000000_22,0.18,6.54,91.92,0,1.54,100,28.26,2005,81429,NA,NA,NA,NA,NA,NA,27.29,59.46,44.3,16.7,0,0,0
31800000000000_23,0.14,0,99.92,0,0.08,100,28.83,1952,78036,30.5,NA,13.28,NA,NA,NA,47.46,42.85,38.96,11.55,0,0,0
58100000000000_24,0.12,5.83,94.17,0,0,100,28.35,2007,NA,NA,472.5,NA,NA,NA,91,50.32,65.28,47.52,52.6,0,0,0
